Fish ID,Magement Region,mgmt_lat,Sampling Port,State,Season,Sample Month,Full Sample Date ,Depth m,Lat,Long,Relief,Weight g,FL cm,TL cm,SL cm,Height cm,Sex,Maturity,Fulton's K,GSI (g),HSI (g),Gut Weight (g),Gut Content Weight (g),Weight,d15N,d13C,%N,%C,C:N
HLS_0120,Columbia,43,Westport,Washington,Summer,June,6/12/17,51.2064,46.86619,-124.3466,2,220,24.4,25.3,20.2,6.8,M,IMM,1.358504612,1.045454545,2.5,4,0.9,0.5,15.5,-16.6,13,40.8,3.1
HLS_0121,Columbia,43,Westport,Washington,Summer,June,6/12/17,51.2064,46.86619,-124.3466,2,680,33.3,34.8,28.5,10.2,M,IMM,1.613508215,0.558823529,1.926470588,9.3,1.8,0.647,15.9,-16.4,14,45.5,3.3
HLS_0124,Columbia,43,Westport,Washington,Summer,June,6/12/17,51.2064,46.86879,-124.34682,2,920,37.6,39.3,32,12,M,IMM,1.51568927,0.27173913,1.47826087,19.7,11,0.533,14.7,-16.9,13,46.8,3.6
HLS_0125,Columbia,43,Westport,Washington,Summer,June,6/12/17,51.2064,46.867,-124.34665,2,760,33.4,35,28.5,11.1,F,IMM,1.772594752,0.381578947,1.684210526,35.5,25.4,0.55,15.9,-16.4,14.3,45.7,3.2
HLS_0126,Columbia,43,Westport,Washington,Summer,June,6/12/17,52.4256,46.86223,-124.34703,3,1120,37.6,40.1,32.4,12.1,F,IMM,1.736940353,0.321428571,1.142857143,12.4,2.4,0.639,15.8,-16.4,14.3,45.3,3.2
HLS_0130,Columbia,43,Westport,Washington,Summer,June,6/12/17,51.2064,46.86619,-124.3466,2,380,27.3,28.6,23.3,8,F,IMM,1.624372009,0.631578947,1.605263158,9.1,4.8,0.532,15.3,-16.7,14,44.8,3.2
HLS_0131,Columbia,43,Westport,Washington,Summer,June,6/12/17,51.2064,46.867,-124.34665,2,740,32.5,34.2,27.8,11,F,IMM,1.849921933,0.445945946,1.405405405,39.1,28.6,0.556,15.3,-16.4,13.9,45,3.2
HLS_0134,Columbia,43,Westport,Washington,Summer,June,6/12/17,112.776,46.746,-124.55366,2,2440,50.5,52.9,43.2,15.8,M,MAT,1.648248959,1.032786885,1.758196721,48.8,-,0.611,16.4,-16.4,14.1,45.9,3.3
HLS_0137,Columbia,43,Westport,Washington,Summer,June,6/12/17,112.776,46.746,-124.55366,2,2130,47.4,51,41.2,15.5,M,MAT,1.605717258,1.20657277,1.774647887,113,89.3,0.581,16.2,-16.6,14,46.2,3.3
HLS_0138,Columbia,43,Westport,Washington,Summer,June,6/12/17,112.776,46.746,-124.55366,2,2750,53.2,56.7,45.4,17.8,F,MAT,1.508632701,0.683636364,1.345454545,44.9,14.1,0.534,16.1,-16.8,14.1,45.8,3.2
HLS_0142,Columbia,43,Westport,Washington,Summer,June,6/12/17,112.776,46.746,-124.55366,2,1870,43.3,51.4,41.4,15.5,M,MAT,1.377058054,0.695187166,1.572192513,21.9,4.7,0.545,16,-16.7,14.1,45.1,3.2
HLS_0145,Columbia,43,Westport,Washington,Summer,June,6/12/17,51.2064,46.86318,-124.34252,2,970,37.6,39.5,32.1,11,M,IMM,1.573912003,0.268041237,1.494845361,18.6,8.4,0.559,16.1,-16.2,14,45.1,3.2
HLS_0146,Columbia,43,Westport,Washington,Summer,June,6/12/17,52.4256,46.86189,-124.34731,3,150,21.2,21.9,18.4,6.1,F,IMM,1.428100971,1,2.133333333,2.4,0.3,0.527,15.5,-16.1,14.2,45.4,3.2
HLS_0147,Columbia,43,Westport,Washington,Summer,June,6/12/17,49.9872,47.14416667,-124.52,3,280,27,27.9,23.5,8.6,F,IMM,1.289274585,0.571428571,1.571428571,4.2,1.6,0.547,15.7,-16.3,14.4,46.4,3.2
HLS_0148,Columbia,43,Westport,Washington,Summer,June,6/12/17,50.9016,46.86319,-124.3472,3,710,34.8,36.9,31.5,9.8,M,IMM,1.413120674,0.225352113,1.690140845,7.3,0.7,0.509,16.2,-16.4,13.1,41.6,3.2
HLS_0149,Columbia,43,Westport,Washington,Summer,June,6/12/17,50.9016,46.86319,-124.3472,3,390,23.6,30.8,25.3,8.8,M,IMM,1.334788504,0.41025641,1.41025641,5.6,0.9,0.502,14.4,-16.8,14.1,44.8,3.2
HLS_0150,Columbia,43,Westport,Washington,Summer,June,6/12/17,49.9872,47.14416667,-124.52,3,1030,39,41.2,33.5,12,F,IMM,1.472806108,0.339805825,1.252427184,25.9,15.1,0.52,16.1,-16.4,14.3,46,3.2
HLS_0151,Columbia,43,Westport,Washington,Summer,June,6/12/17,50.9016,46.86319,-124.3472,3,870,36.9,38.1,30,11.6,M,IMM,1.573056514,0.172413793,1.298850575,8.7,-,0.506,16.4,-16.6,13.5,45.7,3.4
HLS_0153,Columbia,43,Westport,Washington,Summer,June,6/12/17,49.9872,47.14416667,-124.52,3,130,20.5,21.2,17.4,5.9,F,IMM,1.364381335,1,1.846153846,1.3,0.4,0.575,15.1,-16.4,14.1,45.4,3.2
HLS_0156,Columbia,43,Westport,Washington,Summer,June,6/12/17,51.2064,46.86414,-124.3404,3,600,32.2,34,29.8,10.7,M,IMM,1.526562182,0.366666667,1.566666667,9,3.1,0.52,16.4,-16.6,14.1,45.8,3.2
HLS_0165,Columbia,43,Westport,Washington,Summer,June,6/12/17,51.2064,46.86414,-124.3404,3,350,25.8,27.9,20.8,8.3,M,IMM,1.611593231,0.514285714,1.4,5.4,0.8,0.566,16,-16.4,13.9,45.5,3.3
HLS_0166,Columbia,43,Westport,Washington,Summer,June,6/12/17,51.2064,46.86414,-124.3404,3,1110,38.2,41.3,33.2,12,F,IMM,1.57569742,0.333333333,2.306306306,10,0.4,0.624,16,-16.1,14.1,45.9,3.3
HLS_0167,Columbia,43,Westport,Washington,Summer,June,6/12/17,51.2064,46.86879,-124.34682,2,320,26.6,27.9,22.4,7.8,M,IMM,1.473456668,0.46875,1.53125,4.8,0.4,0.571,15.6,-16.7,13.9,45.5,3.3
